Winery_ID,Days_Of_Week,Open,Close
1,"Monday', 'Tuesday', 'Wednesday', 'Thursday'",10:00,16:00
1,"Friday', 'Saturday'",10:00,16:00
2,"Monday', 'Tuesday', 'Wednesday', 'Thursday'",NULL,NULL
2,"Friday', 'Saturday'",11:00,16:00
3,"Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'",11:00,17:00
4,"Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'",11:00,16:00
5,"Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'",11:00,17:00
6,"Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'",NULL,NULL
7,"Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'",11:00,17:00
8,NULL,NULL,NULL
9,"Monday', 'Tuesday', 'Wednesday', 'Thursday'",NULL,NULL
10,"Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'",11:00,16:00
11,NULL,NULL,NULL
12,"Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'",NULL,NULL
12,Saturday',11:00,17:00
13,"Monday', 'Tuesday', 'Wednesday'",NULL,NULL
13,"Sunday', 'Thursday'",11:00,16:00
13,"Friday', 'Saturday'",11:00,17:00
14,"Monday', 'Tuesday', 'Wednesday', 'Thursday'",NULL,NULL
14,"Friday', 'Saturday'",11:00,18:00
14,Sunday',11:00,17:00
15,"Sunday', 'Monday', 'Tuesday', 'Wednesday'",NULL,NULL
15,"Thursday', 'Friday', 'Saturday', 'Sunday'",11:00,18:00
16,"Thursday', 'Friday', 'Saturday', 'Sunday', 'Monday'",11:00,17:00
16,"Tuesday', 'Wednesday'",NULL,NULL
17,"Monday', 'Tuesday', 'Wednesday'",NULL,NULL
17,"Sunday', 'Thursday'",13:00,17:00
17,"Friday', 'Saturday'",11:00,18:00
18,"Monday', 'Thursday', 'Friday', 'Saturday'",12,18:00
18,"Tuesday', 'Wednesday'",NULL,17:00
18,Sunday',11:00,17:00
19,"Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'",11:00,18:00
19,"Friday', 'Saturday'",11:00,18:30
20,"Sunday', 'Monday', 'Tuesday'",NULL,NULL
20,"Wednesday', 'Thursday', 'Friday', 'Saturday'",11:00,17:00
21,"Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'",11:00,17:00
21,Friday',11:00,19:00
21,Saturday',11:00,18:00
22,"Sunday', 'Monday', 'Tuesday', 'Wednesday'",11:00,17:00
22,"Thursday', 'Friday', 'Saturday',",11:00,19:00
23,"Sunday', 'Monday'",NULL,NULL
23,"Tuesday', 'Wednesday', 'Thursday'",11:00,17:00
23,"Friday', 'Saturday'",10:00,17:00
24,"Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'",13:00,18:00
24,"Friday', 'Saturday'",12:00,19:00
25,Sunday',11:00,17:00
25,"Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'",11:00,20:00
26,"Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'",10:00,17:00
27,"Monday', 'Tuesday', 'Wednesday', 'Thursday'",NULL,NULL
27,"Friday', 'Saturday'",11:00,18:00
27,Sunday',11:00,16:00
28,"Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'",NULL,NULL
28,Friday',16:00,19
28,Saturday',11:00,20:00
29,"Monday', 'Tuesday', 'Wednesday'",NULL,NULL
29,"Thursday', 'Friday', 'Saturday', 'Sunday'",12:00,17:00
30,"Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'",11:00,17:00
31,"Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'",11:00,19:00
31,"Friday', 'Saturday'",11:00,22:30
32,Sunday',11:00,17:00
32,"Monday', 'Tuesday', 'Wednesday'",11:00,18:00
32,"Thursday', 'Friday', 'Saturday'",11:00,20:00
33,NULL,NULL,NULL
34,"Monday', 'Tuesday', 'Wednesday', 'Thursday'",NULL,NULL
34,Friday',15:00,18:00
34,"Sunday', 'Saturday'",12:00,18:00
35,NULL,NULL,NULL
36,"Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'",10:00,16:00
36,Sunday',11:00,16:00
37,"Tuesday', 'Wednesday'",NULL,NULL
37,"Sunday', 'Monday', 'Thursday', 'Friday', 'Saturday'",11:00,17:00
38,"Monday', 'Wednesday""",12:00,17:00
38,Tuesday',NULL,NULL
38,Thursday',12:00,18:00
38,"Friday', 'Saturday'",11:00,20:00
38,Sunday',11:00,14:00
38,"Monday', 'Tuesday'",NULL,NULL
39,"Sunday', 'Monday', 'Tuesday'",NULL,NULL
39,"Wednesday', 'Thursday', 'Friday', 'Saturday'",11:00,6:00
40,"Tuesday', 'Wednesday'",NULL,NULL
40,"Monday', 'Thursday', 'Sunday'",11:00,17:00
40,"Friday', 'Saturday'",11:00,17:00
41,"Sunday', 'Monday', 'Tuesday', 'Wednesday'",12:00,18:00
41,"Thursday', 'Friday', 'Saturday'",12:00,18:00
41,"Monday', 'Tuesday'",NULL,NULL
42,"Sunday', 'Wednesday', 'Thursday'",12:00,17:00
42,"Friday', 'Saturday'",12:00,19:00
42,"Monday', 'Tuesday'",NULL,NULL
43,"Monday', 'Tuesday'",NULL,NULL
43,"Sunday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'",12:00,18:00
44,"Monday', 'Thursday'",12:00,18:00
44,"Sunday', 'Friday'",11:00,18:00
44,"Tuesday', 'Wednesday'",NULL,NULL
44,Saturday',12:00,19:00
45,"Tuesday', 'Wednesday'",NULL,NULL
45,"Sunday', 'Monday'",12:00,16:00
45,Thursday',14:00,18:00
45,"Friday', 'Saturday'",12:00,18:00
46,"Monday', 'Tuesday', 'Wednesday', 'Thursday'",NULL,NULL
46,"Sunday', 'Friday', 'Saturday'",11:00,17:00
47,"Monday', 'Tuesday', 'Wednesday'",11:00,17:00
47,"Thursday', 'Friday', 'Saturday'",11:00,20:00
47,Sunday',12:00,17:00
48,"Monday', 'Tuesday', 'Wednesday'",NULL,NULL
48,"Sunday', 'Thursday', 'Friday', 'Saturday'",12:00,19:00
49,Tuesday',NULL,NULL
49,"Sunday', 'Monday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'",11:00,18:00
50,"Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'",10:00,17:00
51,"Monday', 'Tuesday', 'Wednesday'",NULL,NULL
51,"Sunday', 'Thursday', 'Friday', 'Saturday'",12:00,17:00
52,"Monday', 'Tuesday', 'Sunday'",NULL,NULL
52,"Wednesday', 'Thursday', 'Friday', 'Saturday'",11:00,17:00
53,"Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Saturday'",11:00,17:00
53,Friday',11:00,17:00
54,"Monday', 'Tuesday",NULL,NULL
54,"Sunday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'",11:00,17:00
55,"Sunday', 'Monday', 'Thursday', 'Friday', 'Saturday'",11:00,17:00
55,"Tuesday', 'Wednesday'",NULL,NULL